,Review,Rating,Sentimen,Label
34,This is perhaps the most boring book I ve ever read  I kept waiting for something to happen  Waited until the very last page    nothing  Complete waste of time ,1,Negatif,0
35,This is my first Anne Tyler book and most likely my last  The story was weak and the main character just too pitiful ,1,Negatif,0
36,This book showed promise in the beginning  Secondary characters were not developed to the point where I could believe them  Not much of a story line  This author can write but needs material ,1,Negatif,0
37,I enjoyed this book  It did move a bit slowly at times  but Willa s search for a purpose after a lifetime of being governed by others  wishes rang true ,4,Positif,1
38,I am a big Anne Tyler fan and I enjoyed reading her latest  There are maybe a few inexplicable things about the choices the protagonist makes  as she becomes embroiled in the lives of strangers  However  the time jumps and the details about her background work well  and the characters and dialogue are well done  as always   This novel is reminiscent of  Breathing Lessons   if you are familiar with that  Better than her previous book  but not as brilliant as  The Accidental Tourist  or  Dinner at the Homesick Restaurant  ,4,Positif,1
39,Two of Anne Tyler s books are on my top ten best ever books  Ladder of Years and The Accidental Tourist  both of which I reread at least once a year  Clock Dance is definitely another Anne Tyler quiet yet sublime tour de force ,4,Positif,1
40,I don t have the nerve to slam Anne Tyler s book but I found it to be boring  Her characters were just too  now  to be interesting  The slightly down at heel neighborhood full of inner city characters who genuinely care about each other was too much of a stretch for my taste ,4,Positif,1
41,My first Anne Tyler novel upon a recommendation from a friend  This usually isn t the type of book I read  I found myself easily submerged into the life of Willa  I was pleasantly surprised about the plot twists and turns and the raw emotions described  Anne Tyler wrote a captivating novel about a fairly average person  I couldn t go a day without reading more ,4,Positif,1
42,Ann Tyler s characters are always a little off center  This short novel is sad  I felt bad for the main character and her husband and the others around her  but am glad I read it ,4,Positif,1
43,Absolutely loved this book  For me you can t go wrong with Anne Tyler  I would like a sequel though  ,4,Positif,1
44,Follows Willa from      to present Well written ,4,Positif,1
45,Well written and engaging as are all her novels    I liked the final resolution ,4,Positif,1
46,Easy read  I really enjoyed this book although the ending seemed abrupt  Overall I would recommend it  I wished Willa had been more empowered earlier on in life ,4,Positif,1
47,Easy  captivating story but I would have liked more closure to some situations like her sister  Her sons were another disappointment ,4,Positif,1
48,nice,4,Positif,1
49,Unbelieveably  this is my first read of an Anne Tyler novel  I found  Clock Dance  to be enjoyable once well into the text ,4,Positif,1
50,I felt like the main character  Willa  was sweet and sad  She wasn t someone who stood up for herself and she allowed things to happen instead of trying to take charge of any situation,4,Positif,1
51,As a devoted Tyler fan  it s difficult to say anything negative  but     the first half of the book was bland  It wasn t until Willa went to Baltimore that it took off into Tyler territory and the usual good stuff  The ending  well  a bit implausible  but people do such things  The child stole the show in this one,4,Positif,1
52,Anne Tyler is one of my favorite authors  Her novels never disappoint me  She always has a good blend of quirkiness in her characters and relatable qualities ,4,Positif,1
53,This isn t her best book  but I finished it in one sitting  Have a read for yourself   I wonder who she based it on,4,Positif,1
54,Warm and witty and poignant look at an American family and the way in which one woman comes to value her own person hood  Anne Tyler never lets me down ,4,Positif,1
55,I know Elizabeth and Sunny  I work at Theranos right now  All of this is lies  They are best company in world ,1,Negatif,0
56,The story could be crafted better  There are plenty of facts  people  events  but they are not distilled to elegant story  I read stories about Twitter  Facebook  Microsoft  Apple  Tesla  SpaceX  Google  Amazon and definitely several more high tech companie,2,Negatif,0
57,Too much repetition  too much unnecessary details  e g   the make  model  and color of each mentioned car   It would have been a good long magazine article,2,Negatif,0
58,Intriguing story of deception and hubris but it drags on  I lost interest about two thirds through  At the end of the day perhaps Elizabeth Holmes really just isn t that interesting ,3,Negatif,0
59,The story itself is captivating,3,Negatif,0
60,There s no doubt the book was well researched and sourced but for me read better in some of the excerpts I saw ,3,Negatif,0
61,Was not expecting the paper back to be a  Large Print  version  Not pleasing to read,3,Negatif,0
62,The story and writing are fascinating and well organized  The narration is severely lacking in emphasis or character ,3,Positif,1
63,It s ok they should just name it  she s a bitch ,3,Negatif,0
64,The      edition is a version published through a self publishing Amazon subsidiary called  CreateSpace Independent Publishing Platform   It is missing several sections  example  Preface   Index   The formatting does not match earlier editions  example  statements in Bold and or Italics that the author used to emphasize in earlier editions are in the same font as the rest of the text in the      edition   We returned the book for a refund,1,Negatif,0
65,Not really sure why it took me so long to finally get through this one  Had it my bedside nightstand and would dip in now and then  Not as boring and dry as some have reported  actually clever and witty in spots but provides a solid foundation for symbolism in literature ,4,Negatif,0
66,How to Read Literature Like a Professor does not read like a textbook  It s a fun read that definitely taught me something  or multiple somethings    It also inspired me to read more of the classics  as Foster references many works again and again throughout the book,4,Negatif,0
67,The book i received was in decent condition  but it was the wrong edition  I should have received the revised edition  but I got the first edition instead  I m sure they re not too different  but they re different enough that my professor specifically asked us to get the revised edition  I ve attached a picture of the one I got in the mail  the wrong edition,4,Positif,1
68,Avoid this printing completely  It s a poorly produced  potentially bootleg  copy of the original  Sections missing  paginated by an insane person  no page numbers or index  Sent this piece of garbage back for a refund,1,Negatif,0
69,Boring,1,Negatif,0
70,Good book but boring and repetitive ,3,Negatif,0
71,ok,3,Positif,1
72,Foster is a relatable author and has witty humor if you understand his literary references but at times his point isn t exactly defined it s very difficult to get a set skill instead of just examples or anecdote of his,3,Positif,1
73,We were assigned this book for summer reading  I would recommend How to read a book by Mortimer J Adler   More constructive and less gratuitous ,1,Negatif,0
74,I  had to buy this book for my AP English class  It is helpful for people who need help finding the more hidden meanings in literature  but  for someone who reads a variety of literature  often  it wasn t of much use  The way the author writes keeps it interesting  though  It s not like an instruction manual  it s more like a conversation  That s something I liked when I did actually read the book  We don t know everything  so getting this book might help you see something you missed  You won t know until you read it ,3,Negatif,0
75,It was predictable and I was forced to read it for school  but informative   AP English    students  seriously read it  Like the almost every other lit book  it sucks to read but you really enjoy it when you re done ,3,Negatif,0
76,I  bought both the mass market paperback edition and hardcover one  The paper of hardcover is as cheap as the other one ,3,Positif,1
77,bought both the mass market paperback edition and hardcover one  The paper of hardcover is as cheap as the other one ,3,Positif,1
78,No issue ,3,Positif,1
79,the book was very informative and causes you to think twice about what you are reading  However I did think that the book was annoying at times  If you really want to read like a literature professor you should start here ,3,Positif,1
80,None,3,Negatif,0
81,Too many examples to show how well read he was,3,Negatif,0
82,Teaches you how to recognize paterns and themes  which is very valuable  However  it is very basic and only scratches the surface ,3,Negatif,0
83,I had to read this over the summer for my AP Literature class  and it wasn t so bad  I like how foster writes like if he was actually there explaining it to you ,3,Negatif,0
84,Chatty and readable but some examples are not quite clear ,3,Negatif,0
85,I chose this rating because overall it was well done presenting an interesting perspective but the topic is not one of my passions,3,Negatif,0
86,It s a college text book   what else can be said ,3,Positif,1
87,The concepts are pretty standard and seem like common knowledge  Just sparknote it instead to get the information without paying for it ,3,Negatif,0
88,oring   must read for school   ,2,Negatif,0
89,I can t exit out of this book to the homepage of my kindle  Is this a glitch or do I just suck at technology ,3,Negatif,0
90,It was a school assignment ,3,Positif,1
91,just vague info and not too educational  it is the author s opinion vs yours   guess whose opinion worths more  not yours  ,3,Positif,1
92,This damn book must be coming from Antarctica  I should have bought it retail  I would have it by now ,1,Negatif,0
93,My daughter is reading it for an advanced high school sophomore class  She loves reading but is struggling getting through this one ,2,Negatif,0
94,Was forced to read for summer reading and points did not connect unfortunately  I ll have to use google at this point ,1,Negatif,0
95,Required reading for high school  Granddaughter not especially happy with it so just an  okay  read ,3,Negatif,0
96,Eh  Not very userful,3,Negatif,0
97,This is very very basic  I can see how it might help high school students  but if you know literature terms at all     say symbolism or metaphor then a quick read through is all one will need  I am glad I only paid I think       on my Kindle for it ,2,Negatif,0
98,I am middle school reading teacher and found this book difficult to read  I really wanted to read it and learn from it   but it was boring ,2,Negatif,0
99,Not my favorite  but I did enjoy it better than my other summer reading boo,2,Negatif,0
100,I  didn t enjoy the book and I had to buy it for school  which we never used  I didn t enjoy the book  and stopped reading  It was a pretty weird book  weird lessons,3,Negatif,0
101,A book for school  not my daughters fav ,2,Negatif,0
102,I recieved a clean good book  but I personally did not enjoy it for it was for a school homework assignment but the book is in wonderful condition so i liked that,3,Negatif,0
103,My daughter is on track with the summer reading assignments  seems like it is helping for her year of lit reading ,3,Positif,1
104,The book is complete  a few pages with underlining  but it has definitely been used  and I would say quite a lot  Perhaps I am being harsh  but I would give it a  poor  rating  a  fair   maybe ,2,Negatif,0
105,Oh sweet six pound three ounce baby Jesus this book is painful and I would never recommend it to anyone who wasn t attempting to commit sepuku for dishonoring their clan ,1,Positif,1
106,My daughter loves this book  This is actually the second time we are buying it because she said that her younger sister should have a copy  Can not wait for it to get here to see what her sister thinks ,5,Positif,1
107,This book provides a clear and useful overview of ideas that should be but often are not taught in high school  Thank you Mr  Foster  All four of our kiddos have had an easier time with their college papers due to your insights ,4,Positif,1
108,Liked it because I like literature and I have taught literature   makes me think and that is a good thing ,4,Positif,1
109,I loved this book for many reasons  but mostly because it s so accessible ,5,Positif,1
110,This book will give new meaning to literature  I enjoyed the light hearted approach and the skillful manner in which the topics were covered  It will help students and older readers alike ,5,Positif,1
111,An excellent  introduction  for those who have a desire to understand literature on a deeper level  All great stories are more than the stories themselves  That is  the author is attempting to shine light on a deeper meaning  and Thomas  book is a supportive lantern to carry with you down that long literary road,5,Positif,1
112,You ll never read a book the same way,5,Positif,1
113,This is my favorite American novel ,5,Positif,1
114,One of my favorite novels  where nothing is what seems ,5,Positif,1
115,I really would be curious to see what kind of things Fitzgerald would have come up with if he lived in our time  It s a shame we lost him all too soon  because I think he has a unique voice and I would have liked to see more from him ,5,Positif,1
116,This was my first read of the novel  although I have seen one movie based on the story  I am glad I read this  if only to experience firsthand the author s lyrical prose that digs deep and conveys so much about the glittering world populated by these dazzling and superficial characters  This one definitely is a five star read ,5,Positif,1
117,He kept dropping subtle hints all along  like jewels  about the characters throughout the whole novel  making me linger on the importance of a word  a sentence  or a paragraph  I m so very glad I rediscovered him as an adult ,5,Positif,1
118,This is one of my favorite banned books    now  Just like everyone else  I read this book in high school ,5,Positif,1
119,An absolutely fascinating  tragic story of a  rotten society  that I would highly recommend to everyone  Truly outstanding work ,5,Positif,1
120,I enjoyed this book ,4,Positif,1
121,The book was maybe too subtle for me as a teen  I was moved by it as an adult  I recommend it  even if you ve read it before ,5,Positif,1
122,There is a reason why this classic novel bears to be read again and again  This beautifully worded masterpiece is so much more than a story of love lost  of disallusionment  It s the eternal struggle between love  money and power and how those factors determine the course of so many lives,5,Positif,1
123,There is passion  secrets  sadness  romance  loneliness  and violence in this book  it s short  but sweet and has a little bit of everything  I could read this book over and over ,5,Positif,1
124,I truly believe this is a book that everyone should read at least once in their life ,5,Positif,1
125,I highly recommend it as a Classic story ,4,Positif,1
126,This review is about this version of the book  not the story itself ,1,Negatif,0
127,I read this book  required reading  in high school and thought then it was a  nothing story  and re reading it forty years later  I haven t changed my mind  There was not one character in the book that I liked or even sympathized with  they were all so self absorbed but I guess that was the point,3,Negatif,0
128,Cool book whatever but the cover is really ugly  It s rediculously pixelated ,3,Negatif,0
129,The book I received is not the same as the picture shown  Different cover and poor quality  The story is good though  Don t let my one star review dissuade you from reading the book  I m just annoyed I didn t get the product I thought I was ordering ,1,Negatif,0
130,I am writing about the look of this book not the actual story  I bought this for my daughter who is reading it for school  The print is so small that it would give her a headache to read this book  You need a magnify glass to see the words ,1,Negatif,0
131,I read this book in high school and was not impressed with it,3,Negatif,0
132,I don t know why everything thinks this is a great read     to me it was a bunch of boring words that didn t make me want to read it  But I kept thinking that at some stage this book would get better  It never did for me  Not to say that others won t enjoy it  just I definitely didn t,2,Negatif,0
133,I  hated it  but I guess I m in the minority because it is a  classic   I found it very slow moving and dull  and only got through the first       pages or so  I ve been told it gets better further on in the story  but it is not worth my time to find out ,1,Negatif,0
134,One of my favorite novels  where nothing is what seems,5,Positif,1
135,I myself found this novel to be very interesting because of the differences we see now,5,Positif,1
136,Overall  a must read   And it s not very long  Could read in a weekend  ,5,Positif,1
137,This was my first read of the novel  although I have seen one movie based on the story  I am glad I read this  if only to experience firsthand the author s lyrical prose that digs deep and conveys so much about the glittering world populated by these dazzling and superficial characters  This one definitely is a five star read ,5,Positif,1
138,  I m so very glad I rediscovered him as an adult ,5,Positif,1
139,Trying to say how good this novel really is  is like trying to tell your sweetheart how much you love her  words are simply not enough  inadequate and flimsy intimations of the enormity of the task ,5,Positif,1
140,An absolutely fascinating  tragic story of a  rotten society  that I would highly recommend to everyone  Truly outstanding work ,5,Positif,1
141,I  cannot leave this book without some deserving criticism however  The character of Mayer Wolfsheim is a horribly negative Jewish stereotype  and I must say  I was repulsed when I read this character  because it was such a horribly negative portrayal of a Jew  the physical description seemed to concentrate on his large nose  his other attributes seemed to be that he was a gambler  somehow involved in the Black Sox scandal  of fixing the World Series ,4,Positif,1
142,Beautiful story  beautiful book     Gatsby believed in the green light the orgastic future that year by year recedes before us,5,Positif,1
143,I enjoyed this book,4,Positif,1
144,I loved this version of the movie  And  I m glad I read the book first  it really explained the movie   Having read some of the lead reviews  I agree that reading it at the age of    is totally different from someone reading it at the age of   ,5,Positif,1
145,The book was maybe too subtle for me as a teen  I was moved by it as an adult  I recommend it  even if you ve read it before ,5,Positif,1
146,This beautifully worded masterpiece is so much more than a story of love lost  of disallusionment  It s the eternal struggle between love  money and power and how those factors determine the course of so many lives ,5,Positif,1
147,I m not into reading items like this for fun  It wasn t exactly what I expected it to be  Was it a good story  I can t lie   it was  At times I had to pause to figure out what was going on because the style of writing makes it a bit harder to follow  Don t be lazy        don t rent the movie      read it  THEN      rent the movie lol lol,4,Positif,1
148,I personally love The Great Gatsby ,5,Positif,1
149,This was my first time reading  The Great Gatsby  and it certainly won t be my last  The book is beautifully written and the author writes in a powerfully evocative way  Fitzgerald sets up a scene with such skill that I truly felt I was part of the story ,5,Positif,1
150,Honestly  it was one of the few books I read because I had to that I actually enjoyed  ,5,Positif,1
151,I think the Great Gatsby is about the pursuit of something which may be inherently illusory  happiness,5,Positif,1
152,I never had a chance to read this when I was in High School  so I felt compelled to see all the accolades for this book  I enjoyed the book but I did not like any of the characters  They all seemed flawed and too sophisticated  To best describe this book is the pursuit of The American Dream,4,Positif,1
153,It s a cute story  but not my pick as a first grade teacher  throughout the book someone doesn t want to get up for school  You can t see the persons face as the  dad  tried everything to convince them to get up  It turns out it s the teacher who was so nervous about her first day she wouldn t get out of bed ,3,Positif,1
154,The joke was above my students heads  I think the book is better used for talking about being nervous rather than a first day of school read aloud  at least not in  st grade ,3,Positif,1
155,I  was pretty disappointed in this book,2,Negatif,0
156,I thought this would help my son with his first day blues    Instead it repeatedly states how the person hates their new school  and they re not going ,1,Negatif,0
157,Not a great story ,3,Negatif,0
158,Great book    horrible packaging  The spine was bent and broken when I got it and the book had actually torn through the package  It came in a standard bubble envelope  I ordered a similar book and it came in a small flat box and it was perfect,3,Positif,1
159,the book is very predictable  My students enjoy it but not my favorite  Very plain and nothing to write home abou,3,Positif,1
160,No  I thought it was about the students first day jitters  not a teacher,2,Negatif,0
161,This book was not what I was expecting at all  It s about a teacher and her first day jitters not a child  I purchased this for my husband who is a first grade teacher  I guess we were just disappointed when we got to the end ,1,Negatif,0
162,Its a good book and can be used at the first of the year for early school age children  Would suggest very early age children ,3,Positif,1
163,My book was supposed to be a new book  It came with a sticky syrupy substance on the edge which makes the pages stick together  I am very disappointed in the product that I received ,1,Negatif,0
164,We thought it would actually have ideas for our granddaughters  who are starting at a new school this year  Instead  it was a comic situation  funny enougt  but not what we were anticipating or wanting ,1,Negatif,0
165,My   yr old isn t very nervous about starting kindergarten  I thought this book would give him ideas on what he SHOULD be nervous about  I am not giving to my boy    might save it for my girl or donate it  For a child that has fears about kindergarten  this might be an okay book,1,Negatif,0
166,This book was quite cute and my   year old giggled at the end  The ONLY problem I had with it was the use of the word  hate  a couple of times,3,Negatif,0
167,Didn t know it was going to be a hardcover  Would have preferred a soft cover,2,Negatif,0
168,This book was a perfect read for a lazy Sunday morning  in a world where I have been longing for a little escape  I respect everyone s opinions  and not every book is for every person  but this particular book was perfect for me   ,5,Positif,1
169,This book is about the love affair one woman had with the beautiful culture of the Azoreans and the path that took her there ,5,Positif,1
170,I could not have asked for anything more from a book as I enjoyed her friends as much as she did  A triumph ,5,Positif,1
171,I loved it so much I sent copies to other family members to pass along the stories  laughs and saudades  Beijinhos,5,Positif,1
172,History is easily and naturally woven through the personal tale  never heavy or disruptive of the natural flow ,5,Positif,1
173,There are not many books about the Azores  Buy this one and you won t be disappointed ,5,Positif,1
174,This is a wonderful story and I love the characters  It makes me want to go explore the islands and meet the people  I would recommend this book to anyone who enjoys learning about other cultures ,5,Positif,1
175,Since the book was in first person  she also shared part of her personal and professional life  Thoroughly enjoyed this book ,5,Positif,1
176,I  loved being able to be transported to a beautiful island and experience the culture through the art of the story  I just returned from Sao Miguel and this read was perfect  I also listened to fado music by Mariza to enhance the experience,5,Positif,1
177,I chose this book so that I could know about my father s Azorean heritage  a gap he didn t fill  and it definitely helped ,3,Positif,1
178,All in all the book held my attention and if I can I will visit the Azores  I recommend this book ,4,Positif,1
179,Her beautiful descriptions of places and people were so familiar  and I love the way she fit right in and learned everything she could about both ,5,Positif,1
180,I got caught up in her own story but was frustrated by the frequent and lengthy digressions  Her story would build only to be put on hold for a couple of chapters containing not always interesting bios and background  ,4,Positif,1
181,This is not my usual genre of books  But I found this fascinating   truly joyful  By the end of the book  you want to visit the Azores  But it is not a travel book  although you get the sense of the beauty of the islands,5,Positif,1
182,You truly gave mea sense of place  a sense of times  a sense of families ,4,Positif,1
183,Thank you for this understanding  I ve already recommended this book to others  especially those who aren t Azoreans but married one ,5,Positif,1
184,She clearly has a good eye and a big heart for her friends and their friends and relatives as well as a great concern for the environment ,5,Positif,1
185,A fine narrative ,5,Positif,1
186,This was an interesting read that gave insight into the people and customs of the Azores   all while being told a story the author creates about herself as well as the people she meets along the way  It seemed autobiographical but didn t get too personal  I enjoyed the book because I learned about a beautiful place to visit ,4,Positif,1
187,If you don t dream of visiting the Azores after you read this book  you need to start the book over again ,5,Positif,1
188,This was an enjoyable summer read  I really liked the fresh casual style of writing that matched the personality of the main character  I enjoyed learning about the Azore Islands and the history of their connection with California,4,Positif,1
189,it was interesting to learn about the many Azorean people who immigrated to Canada and the US  and how their pilgrimages back help sustain the economy  I knew relatively little about the Azores  so I found the first person account of the people  culture  festivals and beauty very interesting,4,Positif,1
190,This is one book I just couldn t put down,5,Positif,1
191,I  enjoy biographies and learning about other places   traveling without ever leaving my front porch  This semi fiction  semi autobiographical book seemed a great choice for this month s First Reads selection ,4,Positif,1
192,Lovely  lovely remembrances of a magical place and people ,4,Positif,1
193,This was an enjoyable summer read ,4,Positif,1
194,It was interesting to learn about the many Azorean people who immigrated to Canada and the US  and how their pilgrimages back help sustain the economy  I knew relatively little about the Azores  so I found the first person account of the people  culture  festivals and beauty very interesting,4,Positif,1
195,Very slow moving and to a certain extent I was waiting and expecting something to happen ,3,Negatif,0
196,I would not recommend this book  It took forever to finish ,2,Negatif,0
197,My expectations were too high  This book is more a personal journey than an account of the Azores  There are Azorean stories and some descriptions of the land but they seem sidelined by the author s personality ,3,Negatif,0
198,I read this book in the time it would normally take me to read    Just couldn t keep my interest for long stretches ,3,Positif,1
199,All in all an interesting story about Portugese culture  Would live to go there,3,Positif,1
200,Net a demanding book best to skim fast so as not to get bogged down by foreign words I prefer stories with a plot  But many of the descriptions are mesmerizing ,3,Positif,1
201,Interesting enough to keep me from quitting but relieved I m finished  Very little story in comparison to fact  Maybe it s someone s idea of good but not mine ,2,Positif,1
202,I  can t get into this book and I don t know why  I find myself not relating to the characters all the well and it doesn t seem to hold my interest ,2,Positif,1
203,A bit slow and sometimes rather pointless  Should have researched more and emoted less  Also a bit of a downer on the love front ,3,Positif,1
204,read the whole book but it took a long time    Interesting concept though in an autobiographical format by the author,2,Positif,1
205,I read this book as I have a deep interest in the adores  The authors personal details added very little  A collection of short stories about the people she encountered would have been more cohesive and interesting ,2,Positif,1
206,I liked the history of the Azores  The story line was a bit jumpy and silly at times ,2,Positif,1
207,After   trips to the Azores you d think she would learn spanish,3,Positif,1
208,Really would like to read this      but I can t download it    ,1,Positif,1
209,Hard to get through  Wanted more of a story ,2,Positif,1
210,Just not interesting to hold my attention ,1,Negatif,0
211,it was a rather simple story  but it will make you want to travel to the Azore islands ,2,Negatif,0
212,I just did not like the authors style of writing  It seemed like an interesting subject  but I lost interest and did not finish it ,2,Negatif,0
213,Just didn t appeal to my reading likes once I started the book ,2,Negatif,0
214,Disliked,1,Negatif,0
215,Boring  Did not finish,1,Negatif,0
216,The book relayed much information about the traditions and festivals of the Azores  But there was not much other story to it  Having been to the islands it was interesting enuf for me to enjoy it ,3,Negatif,0
217,I kept waiting for this book to draw me in  but it didn t  I try very hard to give all books a chance  and I realize the effort authors put into their writing  but I simply couldn t make it to a point where I found it worth finishing ,1,Negatif,0
218,I kept waiting for something to happen  Never did ,2,Negatif,0
219,kind of jumbled,3,Positif,1
220,I t was more like a documentary  Not what I expected  Maybe you will like it  Lots of names  but hard to follow the story  Was there a point ,2,Negatif,0
221,I  tried several times to read this book  but found it to be extremely boring  I read and like most all kinds of books  but this one is a huge exception  Save your money ,1,Negatif,0
222,The book was very well written and I loved all the island descriptions  I definitely want to visit the islands ,3,Negatif,0
223,Tedious read,2,Negatif,0
224,The book could have been so much more but she rambles  She jumped around with stories and experiences  made it hard to follow,2,Negatif,0
225,I liked the sound of this book  but absolutely could not get into it  Kept reading a little more hoping it would get better  Did not happen ,2,Negatif,0
226,After reading about     of the book  I stopped  For someone interested in visiting the Azores  it might be a good book  but I was bored ,2,Negatif,0
227,I  read this book and really wanted to like   relate to It but it was too detailed for me  ,3,Negatif,0
228,I found myself skipping parts already in the second chapter because I just could not get into it and found it very boring  I read A LOT  but I like the book to catch my interest within the first   chapters  I have found that if it doesn t and I keep reading to try and get into it  I end up wasting my time,1,Negatif,0
229,felt this book had so much potential  I was disappointed by writing structure  for example  He seemed sad  It dragged on and was an overall bore  It did not inspire me  in fact it was stultifyingly dull  But maybe that s just me,1,Negatif,0
230,Lost interest and began speed reading  Too boring to finish ,2,Negatif,0
231,I  LOST INTEREST,1,Negatif,0
232,I highly recommend this work to everyon,1,Positif,1
233,This book will make you a better person if you let it and that  in turn  will make the world a better place ,5,Positif,1
234,I m glad I read the book but understand that if you read it too  the message is as simple and profound as the words on the cover ,4,Positif,1
235,When Amazon recommends you get Loves Does and Loves Lives Here also  take the recommendation  Bob and Maria Goff are fabulous and you can t help but be challenged by their writing ,4,Positif,1
236,I would click infinity stars for this book     ,5,Positif,1
